iter	RMSE
0	14.14385252
1	13.23910737
2	12.36897248
3	11.63954166
4	10.94155078
5	10.37339381
6	9.809605141
7	9.40250707
8	9.0118132
9	8.596955632
10	8.231628043
11	7.937366402
12	7.693518313
13	7.450841252
14	7.236184003
15	7.020375241
16	6.833711289
17	6.671736551
18	6.525582695
19	6.386795263
20	6.284692395
21	6.180018602
22	6.086344581
23	5.989407078
24	5.903947702
25	5.839748623
26	5.767509294
27	5.710011317
28	5.663851984
29	5.615442255
30	5.572941196
31	5.529594566
32	5.488249241
33	5.455676119
34	5.422174681
35	5.392867976
36	5.367285052
37	5.343538773
38	5.319811964
39	5.299997602
40	5.274243217
41	5.258910398
42	5.241517738
43	5.233632627
44	5.216390103
45	5.197869477
46	5.170937891
47	5.158416568
48	5.137095002
49	5.122004515
50	5.108062576
51	5.091209983
52	5.080555016
53	5.066582072
54	5.050636047
55	5.038466975
56	5.023386184
57	5.01448944
58	4.995578325
59	4.980903896
60	4.963200358
61	4.953074703
62	4.939481464
63	4.92785948
64	4.916532345
65	4.906739631
66	4.895253181
67	4.884762912
68	4.880452996
69	4.862301375
70	4.849915081
71	4.842902596
72	4.839650483
73	4.832478539
74	4.822056211
75	4.811819717
76	4.794326204
77	4.78195334
78	4.77070144
79	4.764774082
80	4.750948091
81	4.74401014
82	4.739131699
83	4.7329364
84	4.726102507
85	4.718729124
86	4.706395203
87	4.702243351
88	4.693315914
89	4.680165572
90	4.675352027
91	4.66240564
92	4.652376397
93	4.647258771
94	4.6436222
95	4.638021334
96	4.621879833
97	4.606704256
98	4.598390783
99	4.588806376
