iter	Passed	Remaining
0	2	229
1	4	197
2	5	186
3	7	184
4	9	175
5	10	170
6	12	165
7	14	168
8	16	164
9	17	160
10	19	159
11	21	158
12	23	159
13	26	161
14	28	159
15	29	155
16	31	152
17	33	152
18	35	150
19	37	149
20	39	148
21	41	146
22	42	143
23	44	141
24	46	139
25	48	137
26	50	135
27	53	137
28	54	134
29	56	131
30	58	130
31	60	128
32	61	125
33	64	124
34	66	123
35	68	121
36	69	118
37	71	117
38	73	115
39	75	112
40	77	111
41	79	110
42	81	108
43	82	105
44	84	103
45	86	101
46	87	99
47	89	96
48	91	95
49	93	93
50	95	91
51	97	89
52	98	87
53	100	85
54	101	83
55	104	81
56	106	80
57	108	78
58	110	76
59	112	74
60	113	72
61	115	70
62	117	68
63	119	67
64	121	65
65	122	63
66	125	61
67	129	60
68	131	59
69	133	57
70	135	55
71	137	53
72	139	51
73	141	49
74	142	47
75	144	45
76	146	43
77	148	41
78	150	39
79	152	38
80	154	36
81	156	34
82	158	32
83	161	30
84	163	28
85	165	26
86	167	25
87	169	23
88	170	21
89	172	19
90	175	17
91	178	15
92	180	13
93	182	11
94	184	9
95	185	7
96	187	5
97	189	3
98	191	1
99	193	0
